id,No_voie,type_de_voie,voie,surface_carrez,type_local,surface_reelle,nombre_pieces_principales,departement
18463,2.0,RUE,HECTOR BERLIOZ,"56,19",Appartement,57,1,78
18464,9.0,RUE,DE LA FONTAINE ST MARTIN,"69,95",Appartement,75,3,78
18465,3.0,RUE,DE LA HAISE,"73,6",Appartement,76,4,78
18466,2.0,RUE,DE LA FONTAINE ST MARTIN,87,Appartement,83,4,78
18467,34.0,RUE,DU PRIEURE,"76,48",Appartement,49,3,78
18468,3.0,RUE,DES GRAVIERS,"22,61",Appartement,23,1,78
18469,7.0,ALL,DE L AQUEDUC,"62,85",Appartement,64,3,78
18470,45.0,ALL,DES BOCAGES,"93,15",Maison,77,3,78
18471,275.0,RUE,ABEL GUYET,"25,03",Appartement,25,1,78
18472,3.0,PL,DU COLONEL FABIEN,"79,15",Appartement,78,4,78
18473,89.0,RUE,PRESIDENT ROOSEVELT,"63,11",Appartement,63,3,78
18474,15.0,RUE,ANDRE DERAIN,"67,74",Appartement,74,4,78
18475,48.0,AV,DU MAL FOCH,"141,24",Appartement,139,5,78
18476,37.0,AV,LAMARTINE,"36,82",Appartement,38,2,78
18477,134.0,AV,MAURICE BERTEAUX,"66,1",Appartement,65,3,78
18478,47.0,AV,DE LORRAINE,"80,4",Appartement,81,3,78
18479,152.0,PL,ANDRE MALRAUX,"68,12",Appartement,68,3,78
18480,19.0,RUE,DU PROFESSEUR TUFFIER,"24,03",Appartement,23,1,78
18481,561.0,AV,DES SABLONS,"74,15",Appartement,73,4,78
18482,69.0,RUE,ANDRE LE BOURBLANC,"181,1",Maison,181,6,78
18483,26.0,PROM,MAXIME GORKI,"69,75",Appartement,70,4,78
18484,35.0,,RES ELYSEE 2,"71,28",Appartement,71,3,78
18485,6.0,RES,TROIS FORETS,"61,67",Appartement,62,3,78
18486,7.0,AV,DE SAINT GERMAIN,"44,28",Appartement,46,2,78
